period,date,winningNumber
2006130,2006-05-18,8080
2006131,2006-05-19,1652
2006132,2006-05-20,0938
2006133,2006-05-21,9897
2006134,2006-05-22,0733
2006135,2006-05-23,7455
2006136,2006-05-24,3910
2006137,2006-05-25,7337
2006138,2006-05-26,0870
2006139,2006-05-27,1720
2006140,2006-05-28,8302
2006141,2006-05-29,9746
2006142,2006-05-30,2662
2006143,2006-05-31,1042
2006144,2006-06-01,1515
2006145,2006-06-02,5887
2006146,2006-06-03,8343
2006147,2006-06-04,7336
2006148,2006-06-05,7601
2006149,2006-06-06,0192
2006150,2006-06-07,0495
2006151,2006-06-08,1817
2006152,2006-06-09,8145
2006153,2006-06-10,9509
2006154,2006-06-11,9487
2006155,2006-06-12,7592
2006156,2006-06-13,6782
2006157,2006-06-14,0384
2006158,2006-06-15,6232
2006159,2006-06-16,5392
2006160,2006-06-17,9868
2006161,2006-06-18,9768
2006162,2006-06-19,2427
2006163,2006-06-20,9947
2006164,2006-06-21,5348
2006165,2006-06-22,3971
2006166,2006-06-23,3736
2006167,2006-06-24,9641
2006168,2006-06-25,2117
2006169,2006-06-26,7943
2006170,2006-06-27,3056
2006171,2006-06-28,2469
2006172,2006-06-29,6876
2006173,2006-06-30,0193
2006174,2006-07-01,4544
2006175,2006-07-02,0015
2006176,2006-07-03,7724
2006177,2006-07-04,9458
2006178,2006-07-05,4659
2006179,2006-07-06,4990
2006180,2006-07-07,5936
2006181,2006-07-08,9590
2006182,2006-07-09,2170
2006183,2006-07-10,4655
2006184,2006-07-11,3401
2006185,2006-07-12,7006
2006186,2006-07-13,4695
2006187,2006-07-14,7137
2006188,2006-07-15,9950
2006189,2006-07-16,3346
2006190,2006-07-17,4194
2006191,2006-07-18,2939
2006192,2006-07-19,3007
2006193,2006-07-20,7483
2006194,2006-07-21,1169
2006195,2006-07-22,9186
2006196,2006-07-23,8485
2006197,2006-07-24,9498
2006198,2006-07-25,1655
2006199,2006-07-26,0290
2006200,2006-07-27,9286
2006201,2006-07-28,7249
2006202,2006-07-29,8918
2006203,2006-07-30,4519
2006204,2006-07-31,8720
2006205,2006-08-01,4810
2006206,2006-08-02,4711
2006207,2006-08-03,9374
2006208,2006-08-04,3683
2006209,2006-08-05,5624
2006210,2006-08-06,2573
2006211,2006-08-07,5526
2006212,2006-08-08,9348
2006213,2006-08-09,4216
2006214,2006-08-10,3403
2006215,2006-08-11,5275
2006216,2006-08-12,8361
2006217,2006-08-13,3532
